INFO 2019-09-13 16:23:51,622 MessageProxy.java sendMessage 发送message
INFO 2019-09-13 17:55:03,206 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用开始
INFO 2019-09-13 17:55:03,208 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用结束
INFO 2019-09-13 17:55:10,840 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用开始
INFO 2019-09-13 17:55:10,843 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用结束
INFO 2019-09-13 17:55:11,806 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用开始
INFO 2019-09-13 17:55:11,808 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用结束
INFO 2019-09-13 17:55:12,861 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用开始
INFO 2019-09-13 17:55:12,864 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用结束
INFO 2019-09-13 17:55:13,530 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用开始
INFO 2019-09-13 17:55:13,534 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用结束
INFO 2019-09-13 17:55:14,417 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用开始
INFO 2019-09-13 17:55:14,419 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用结束
INFO 2019-09-13 17:55:15,040 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用开始
INFO 2019-09-13 17:55:15,043 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用结束
INFO 2019-09-13 17:55:16,096 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用开始
INFO 2019-09-13 17:55:16,099 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用结束
INFO 2019-09-13 17:55:17,301 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用开始
INFO 2019-09-13 17:55:17,303 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用结束
INFO 2019-09-13 17:55:18,454 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用开始
INFO 2019-09-13 17:55:18,456 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用结束
INFO 2019-09-13 17:55:19,349 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用开始
INFO 2019-09-13 17:55:19,352 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用结束
INFO 2019-09-13 17:55:20,486 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用开始
INFO 2019-09-13 17:55:20,488 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用结束
INFO 2019-09-13 17:55:21,278 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用开始
INFO 2019-09-13 17:55:21,280 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用结束
INFO 2019-09-13 17:55:22,398 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用开始
INFO 2019-09-13 17:55:22,400 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用结束
INFO 2019-09-13 17:55:23,503 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用开始
INFO 2019-09-13 17:55:23,506 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用结束
INFO 2019-09-13 17:55:24,432 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用开始
INFO 2019-09-13 17:55:24,434 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用结束
INFO 2019-09-13 17:55:25,708 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用开始
INFO 2019-09-13 17:55:25,710 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用结束
INFO 2019-09-13 17:55:35,120 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用开始
INFO 2019-09-13 17:55:35,123 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用结束
INFO 2019-09-13 17:55:36,806 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用开始
INFO 2019-09-13 17:55:36,808 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用结束
INFO 2019-09-17 15:56:44,381 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用开始
INFO 2019-09-17 15:56:44,402 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用结束
INFO 2019-09-17 15:57:31,032 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用开始
INFO 2019-09-17 15:57:31,034 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用结束
INFO 2019-09-17 15:57:38,129 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用开始
INFO 2019-09-17 15:57:38,132 MyInterceptor.java invoke 拦截器MyInterceptorsendMessage调用结束
INFO 2019-09-18 21:03:50,376 GBLIBInterceptor.java beforeMethod sendMessage被执行
INFO 2019-09-18 21:03:50,395 GBLIBInterceptor.java afterMethod sendMessage执行结束
